Date,Meal Type,Menu Items,StationID,StationName,AveTemp,Precipitation,Rain
2025-03-30,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,3.3,0.0,0.0
2025-03-17,건강한끼(11:30~13:30),김치콩나물국닭강정 (계:국산)콘치즈비엔나 (돈:국산)백미밥봄동겉절이깍두기,119.0,수원,2.6,0.0,0.0
2025-03-18,건강한끼(11:30~13:30),청양바지락국김치사태찜 (돈:국산)온두부찜흑미밥열무된장무침깍두기,119.0,수원,2.0,4.0,1.0
2025-03-19,건강한끼(11:30~13:30),강된장보리비빔밥미역국임꺽정떡갈비 (돈/우/계:국산)백미밥오징어젓갈무침 (중국산)열무김치,119.0,수원,1.7,0.0,0.0
2025-03-20,건강한끼(11:30~13:30),팽이된장국닭볶음탕 (계:국산)들기름막국수백미밥오이부추무침포기김치,119.0,수원,7.1,0.0,0.0
2025-03-21,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,10.4,0.0,0.0
2025-03-22,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,12.0,0.0,0.0
2025-03-23,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,13.8,0.0,0.0
2025-03-10,건강한끼(11:30~13:30),강된장두부찜햄야채볶음 (돈/계:국산)미역국백미밥봄동시저샐러드 (돈:국산)포기김치,,,,,
2025-03-11,건강한끼(11:30~13:30),부대찌개 (돈:국산)우엉떡잡채콩나물무침백미밥도시락김깍두기,,,,,
2025-03-12,건강한끼(11:30~13:30),북어해장국바싹불고기 (돈:국산)애호박새우살볶음백미밥비빔만두 (돈:국산)깍두기,,,,,
2025-03-13,건강한끼(11:30~13:30),돈육김치찌개 (돈:국산)치킨까스 (계:국산)사각어묵볶음백미밥건파래볶음깍두기,,,,,
2025-03-14,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,,,,,
2025-03-15,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,,,,,
2025-03-16,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,4.7,0.0,0.0
